,School Name,Location,Latitude,Longitude,Type of School,"2018/19
DSIB Rating"
104,Japanese School,Al Wasl,25.192697,55.254131,  Japanese,Good
105,Jebel Ali School,Jebel Ali,25.009976,55.254964,UK,Very Good
106,JSS International School LLC,Al Barsha 2,25.075028,55.215356,  Indian,Good
107,JSS PRIVATE SCHOOL LLC,Al Wasl,25.191845,55.252894,  Indian,Good
108,Jumeira Baccalaureate School,Jumeirah 1,25.218637,55.259723,  International Baccalaureate,Very Good
109,Jumeirah College,Al Safa 1,25.176394,55.235789,  UK,Outstanding
110,Jumeirah English Speaking School,Al Safa 1,25.179742,55.243147,  UK,Outstanding
111,Jumeirah English Speaking School (Br),Arabian Ranches,25.056689,55.272661,UK/IB,Outstanding
112,Icademy Middle East FZ.LLC,Knowledge Village,25.101772,55.160615,  American,NULL
113,Kent College Dubai,Nad Al Sheba 3,25.07185936,55.21253967,UK,Good
114,Kings School Al Barsha,Al Barsha 2,25.100523,55.253677,  UK,Outstanding
115,Kings school Dubai,Umm Suqueim 3,25.135958,55.196242,  UK,Outstanding
116,Kings School Nad Al Sheba,Nad Al Sheba 1,25.152161,55.379977,  UK,Very Good
117,Little Flowers English school,Hor Al Anz,25.282439,55.336397,  Indian,Acceptable
118,Lycee Francais International,Oud Metha,25.241403,55.312731,  French,Very Good
119,Lycee Francais International Georges Pompidou Primary Oud Metha,Oud Metha,25.233711,55.316025,  French,Outstanding
120,Lycee Francais International Georges Pompidou School ( Dubai Branch ),Al Rowaiyah,25.104978,55.395858,  French,Very Good
121,Lycee Libanais Francophone Prive-Dubai,Al Muhaisnah 4,25.275092,55.410419,  French,Very Good
122,Mirdif Private School,Al Mizhar 1,25.237383,55.437061,  American,Good
123,Modern Skills School,Al Muhaisnah 1,25.244356,55.41603088,  American,Acceptable
124,National Charity School-Boys and Girls,Al Garhoud,25.238522,55.345831,  Ministry of Education,Acceptable
125,New Academy School,Al Raffa,25.250636,55.284283,  American,Acceptable
126,New Indian Model School,Al Garhoud,25.237008,55.347017,  Indian,Acceptable
127,New World  School Private,Al Twar 1,25.265406,55.374644,  Ministry of Education - International Baccalaureate,Acceptable
128,Next Generation School,Al Barsha 1,25.09828949,55.18967056,American,Acceptable
129,Nord Anglia International School,Al Barsha 2,25.061521,55.227338,  UK,Very Good
130,North American International School,Al Mizhar 1,25.236083,55.432139,  American,Acceptable
131,Oaktree Primary School,Al Quoz 4,25.14920044,55.2476387,UK,Acceptable
132,Our Own High School,Al Warqa'a 1,25.190892,55.400567,  Indian,Good
133,Oxford School,Al Muhaisnah 4,25.281228,55.402192,  UK,Acceptable
134,Pakistan Educational Academy,Umm Hurair,25.241917,55.316989,  Pakistani,Weak
135,Philadelphia Private School,Al Muhaisnah 1,25.278906,55.402194,  American,Acceptable
136,Pristine Private School,Al Nahda 2,25.293458,55.375039,  UK,Good
137,Queen International School,Deira,25.283108,55.348792,  UK,Acceptable
138,Raffles International School -Um Suqeim South BR,Umm Suqueim 3,25.136467,55.194503,  UK,Very Good
